epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3151,2.48486,9.26471,1.89687,0.68911,0.41887,0.48543,0.23737,1.8887,5.79228,1.25594,0.000164384,0.000164384,0.000164384
2,60.0603,1.60817,2.29028,1.23878,0.80836,0.71882,0.74607,0.42135,1.46872,1.58058,1.07852,0.000328865,0.000328865,0.000328865
3,79.0757,1.45241,1.43222,1.19412,0.84994,0.84132,0.91923,0.52171,1.52127,1.08393,1.09952,0.000491147,0.000491147,0.000491147
4,97.939,1.37499,1.14759,1.15966,0.8787,0.85465,0.91971,0.51612,1.46226,0.96168,1.1055,0.0004901,0.0004901,0.0004901
5,115.766,1.29212,1.01548,1.1279,0.92292,0.917,0.95383,0.50313,1.55996,0.85439,1.10041,0.0004868,0.0004868,0.0004868
6,133.959,1.23674,0.88758,1.10265,0.90733,0.93015,0.91545,0.59467,1.28896,0.73283,1.03854,0.0004835,0.0004835,0.0004835
7,152.176,1.22845,0.89394,1.09049,0.95691,0.92525,0.95356,0.53833,1.55621,0.8221,1.09346,0.0004802,0.0004802,0.0004802
8,170.458,1.12646,0.76186,1.0562,0.92038,0.87481,0.94622,0.62706,1.19601,0.68902,0.99938,0.0004769,0.0004769,0.0004769
9,188.993,1.12832,0.76527,1.06117,0.96358,0.9166,0.95977,0.63724,1.24564,0.64925,1.00016,0.0004736,0.0004736,0.0004736
10,207.542,1.12038,0.74987,1.05289,0.93726,0.91292,0.94721,0.62792,1.18847,0.61364,0.97845,0.0004703,0.0004703,0.0004703
11,225.902,1.07677,0.69488,1.03707,0.9216,0.96794,0.97003,0.67635,1.04609,0.55907,0.93762,0.000467,0.000467,0.000467
